,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
1/24/2019,9.206448555,Blackout period,CASH,121555.8497,98446.11013
1/25/2019,9.438336372,Blackout period,CASH,121567.8837,100925.7257
1/28/2019,9.196581841,Invest,QLD,118454.0313,98340.60369
1/29/2019,9.016498566,Invest,QLD,116134.5184,96414.9428
1/30/2019,9.492609978,Invest,QLD,122266.9399,101506.0826
1/31/2019,9.765200615,Invest,QLD,125777.9683,104420.9403
2/1/2019,9.675160408,Invest,QLD,124618.2303,103458.1252
2/4/2019,9.91321373,Invest,QLD,127684.4103,106003.6696
2/5/2019,10.0920639,Invest,QLD,129988.0405,107916.1447
2/6/2019,10.02545929,Invest,QLD,129130.1583,107203.9303
2/7/2019,9.755332947,Invest,QLD,125650.8705,104315.4237
2/8/2019,9.786169052,Invest,QLD,126048.0465,104645.1594
2/11/2019,9.773834229,Invest,QLD,125889.1712,104513.261
2/12/2019,10.06616211,Invest,QLD,129654.4197,107639.1725
2/13/2019,10.07232952,Invest,QLD,129733.8573,107705.1216
2/14/2019,10.0895977,Invest,QLD,129956.2753,107889.7732
2/15/2019,10.18457413,Invest,QLD,131179.593,108905.3722
2/19/2019,10.21787453,Invest,QLD,131608.5096,109261.459
2/20/2019,10.21664143,Invest,QLD,131592.627,109248.2732
2/21/2019,10.13276863,Invest,QLD,130512.3266,108351.4072
2/22/2019,10.2869482,Invest,QLD,132498.1939,110000.0754
2/25/2019,10.3609581,Invest,QLD,133451.458,110791.4758
2/26/2019,10.37945747,Invest,QLD,133689.734,110989.2927
2/27/2019,10.36218834,Invest,QLD,133467.3037,110804.631
2/28/2019,10.31408691,Invest,QLD,132847.7466,110290.2742
3/1/2019,10.46456528,Invest,QLD,134785.9416,111899.3649
3/4/2019,10.45963287,Invest,QLD,134722.4111,111846.6218
3/5/2019,10.4744339,Invest,QLD,134913.0517,112004.8917
3/6/2019,10.35108852,Invest,QLD,133324.3356,110685.9387
3/7/2019,10.09946346,Invest,QLD,130083.3485,107995.2694
3/8/2019,10.06369495,Invest,QLD,129622.6421,107612.7907
3/11/2019,10.48430252,Invest,QLD,135040.1617,112110.4185
3/12/2019,10.60271263,Invest,QLD,136565.3104,113376.5978
3/13/2019,10.75689125,Invest,QLD,138551.1655,115025.2559
3/14/2019,10.71618843,Invest,QLD,138026.9041,114590.0137
3/15/2019,10.89997196,Invest,QLD,140394.0771,116555.2421
3/18/2019,10.95671082,Invest,QLD,141124.8863,117161.9603
3/19/2019,11.03565311,Invest,QLD,142141.6806,118006.1035
3/20/2019,11.12612629,Invest,QLD,143306.9954,118973.5485
3/21/2019,11.46803284,Invest,QLD,147710.8283,122629.6131
3/22/2019,10.95455837,Invest,QLD,141097.1622,117138.9438
3/25/2019,10.92616749,Invest,QLD,140731.4814,116835.3553
3/26/2019,11.02491283,Invest,QLD,142003.3434,117891.2559
3/27/2019,10.89407539,Invest,QLD,140318.1279,116492.1891
3/28/2019,10.9286375,Invest,QLD,140763.2956,116861.7675
3/29/2019,11.10020733,Invest,QLD,142973.1534,118696.3927
4/1/2019,11.39767742,Invest,QLD,146804.6347,121877.2907
4/2/2019,11.46803284,Invest,QLD,147710.8283,122629.6131
4/3/2019,11.60010529,Invest,QLD,149411.951,124041.8861
4/4/2019,11.59023094,Invest,QLD,149284.7671,123936.298
4/5/2019,11.7037878,Invest,QLD,150747.4049,125150.5807
4/8/2019,11.76426792,Invest,QLD,151526.4024,125797.3048
4/9/2019,11.6815691,Invest,QLD,150461.2231,124912.9924
4/10/2019,11.80746937,Invest,QLD,152082.8467,126259.2652
4/11/2019,11.74945736,Invest,QLD,151335.639,125638.933
4/12/2019,11.84573078,Invest,QLD,152575.6622,126668.401
4/15/2019,11.8469696,Invest,QLD,152591.6185,126681.6479
4/16/2019,11.9271965,Invest,QLD,153624.9589,127539.5277
4/17/2019,12.00743008,Invest,QLD,154658.3854,128397.4789
4/18/2019,12.03334904,Invest,QLD,154992.2274,128674.6347
4/22/2019,12.10494137,Invest,QLD,155914.3526,129440.1836
4/23/2019,12.40981674,Invest,QLD,159841.2156,132700.2674
4/24/2019,12.33082104,Invest,QLD,158823.7333,131855.5531
4/25/2019,12.41475296,Invest,QLD,159904.7952,132753.0513
4/26/2019,12.45178223,Invest,QLD,160381.7405,133149.0115
4/29/2019,12.48881245,Invest,QLD,160858.698,133544.9819
4/30/2019,12.30366421,Invest,QLD,158473.9472,131565.1605
5/1/2019,12.20862293,Invest,QLD,157249.7943,130548.868
5/2/2019,12.11604977,Invest,QLD,156057.4313,129558.9676
